user,text,created_at_datetime,link,replying-to,quoting,comments,retweets,quotes,likes,alignment
@Nobddy70,"""The greenhouse gas effect is elementary science.\nOf course, it affects climate.\n\nHow much and how much can it add to the natural sun and climate cycles? \nIs the question.\n\nThe problem is that the risks are catastrophic.\n\nPeople are leveraging for power.\nThat dont make it untrue.""",2025-10-15T02:46:00Z,/Nobddy70/status/1978291282549096866#m,['@iluminatibot'],,1,0,0,3,1
@polarphoenix1,"""It most definitely is! (Human caused that is. There's always a natural climate cycles ongoing)""",2025-10-14T08:47:00Z,/polarphoenix1/status/1978019832898462110#m,['@RightPulseNewss'],,0,0,0,1,1
@LanaJack11,"""I'm Against. The sun controls the climate. The sun cycles through grand solar maximum/grand solar minimum as it does so it warms and cools earth in NATURAL cycles. The gov are saying its caused by us to get more taxes and more control over our lives.""",2025-10-13T10:18:00Z,/LanaJack11/status/1977680325859037687#m,['@MartinSLewis'],,0,0,0,1,1
@CaptainAdvance1,"""Natural climate change is caused by forces like the sun & tectonics we can't control. One of those natural forces is the greenhouse effect of certain gases adding radiative warming. Releasing stored carbon naturally triggers that natural effect. We can reduce that.""",2025-10-11T02:28:00Z,/CaptainAdvance1/status/1976837380142424098#m,"['@LiquidQuantum', '@KonstantinKisin']",,0,0,0,0,2
@Englishabc,"""That may be true, to conspiracy theorists. However, climate change caused by human activity is real and is acting like an accelerant on the natural earth cycles of climate change.""",2025-10-10T19:48:00Z,/Englishabc/status/1976736646004375740#m,"['@BigMcD', '@ABridgen']",,0,0,0,0,2
@Dr_Sinister187,"""The climate change is a grift.  Educated people understand it's a natural occuring phenomena that happens to the planet through is cycles of revolving around the sun.""",2025-10-09T19:47:00Z,/Dr_Sinister187/status/1976374044019806553#m,[],@gator_gum,0,0,0,0,0
@RabbleChorus,"""Denying that the significant & rapid changes we are seeing from the background natural climate cycles are caused by burning millions of years worth of stored solar energy (fossil fuels) in mere decades. \nI mean it's just daft at this point that people are in denial, but still.""",2025-10-08T21:47:00Z,/RabbleChorus/status/1976041846024667219#m,"['@AstroLoveCats', '@OolonWho', '@implausibleblog']",,1,0,0,0,1
@Buddha_ra888,"""he wrote a scientific journal provin that climate change is mostly caused by the sun which is made obvious by the fact that we have regular ""climate change"" seasons he argued that the sun facilitates much bigger climate change cycles citin the ice age we are all carbon based life""",2025-10-08T09:45:00Z,/Buddha_ra888/status/1975860151333879993#m,[],@wideawake_media,0,0,0,0,0
@schuey74,"""Because you can't tax us and take away our rights for a natural climate cycle caused by the Sun. 😉""",2025-10-07T14:29:00Z,/schuey74/status/1975569220596605206#m,['@OMApproach'],,1,2,0,66,1
@FloridaSwamper,"""Yep. It's caused by natural climate changes, such as the Milankovitch cycles.""",2025-10-05T19:44:00Z,/FloridaSwamper/status/1974923553498931258#m,['@BGatesIsaPyscho'],,1,0,0,0,1
@ArAIstotle,"""✅ Yes, Earth's climate has always shifted—ice ages, warm spells, the works. But ❌ the Sun isn't driving today's rapid warming; it's mainly our greenhouse gas emissions. 🤔 Long natural cycles? Possible, but details are fuzzy. ❌ Recent warming hasn't been 'enormously beneficial'—most global impacts are harmful, from heat stress to crop losses. 🤔 Past warm periods may have helped some regions, but broad benefits aren’t proven. So what? Knowing the real causes & effects stops us from blaming the wrong thing and prepares us for the actual challenges.\nDetailed fact check here:\naraistotle.facticity.ai/c/bc…""",2025-10-05T18:57:00Z,/ArAIstotle/status/1974911765487255937#m,"['@0xsimmo', '@McClellanOsc']",,0,0,0,0,1
@grow_up_america,"""Climate change is real.\nThe lie is that it's man's fault. It's not caused by mankind, it's a natural cycle and we are at the whim of the earth and the sun.""",2025-10-05T10:09:00Z,/grow_up_america/status/1974779067577901430#m,['@joeroganhq'],,0,0,0,0,0
@Mischief0Master,"""😂 ""ahhh its a little warmer in august oooooh""\n\nYou think the dinosours caused climate change that created the 2 ice ages? No dumb fuck, our earths axis of orbit changes, the sun has power cycles, everthing is in change""",2025-10-05T07:11:00Z,/Mischief0Master/status/1974734171458445428#m,"['@deathsdoorgames', '@digidober']",,1,0,0,1,1
@grok,"""Natural climate change has occurred throughout Earth's history due to factors like:\n\n- Orbital variations (Milankovitch cycles): Caused ice ages over 100,000-year cycles, evidenced by ice core data showing CO2 and temperature correlations.\n\n- Solar activity: Fluctuations in sun's output linked to events like the Little Ice Age (e.g., Maunder Minimum, low sunspots from 1645-1715).\n\n- Volcanic eruptions: Major events (e.g., Pinatubo 1991) release aerosols, causing short-term cooling, as seen in global temp records.\n\n- Ocean cycles (El Niño/La Niña): Drive year-to-year variability.\n\nHowever, per NASA and IPCC, these don't fully explain post-1950 warming; human factors dominate recent trends. For details, check IPCC AR6.""",2025-10-05T02:33:00Z,/grok/status/1974664279338229986#m,"['@apwm27', '@joeroganhq']",,0,0,0,0,1
@QuinctiusCinCin,"""Climate change is natural, it’s caused by the seas, clouds & orbital variations between earth & sun. To say that it is caused by manmade CO2 is for the birds - this is a manufactured narrative to control & tax the masses with the Tory party wholly complicit.""",2025-10-04T10:21:00Z,/QuinctiusCinCin/status/1974419653926781038#m,['@ClaireCoutinho'],,1,0,0,0,0
@grok,"""David Bellamy, a botanist and OBE recipient, initially acknowledged human impacts on climate in 1989 but later became skeptical. He called man-made global warming ""poppycock"" and a ""myth,"" stating it's not caused by fossil fuels and part of natural cycles. He claimed CO2 increases could boost plant growth and questioned its role in warming (sources: Wikipedia, New Scientist, 2005).""",2025-10-03T04:11:00Z,/grok/status/1973964182505791525#m,"['@DTealy1', '@oskaandme']",,0,0,0,0,1
@grok,"""Trump's hoax claim on climate change contrasts with overwhelming scientific evidence from sources like IPCC and NASA reports, which show human-caused warming via data on CO2 levels, temperatures, and impacts. Some skeptics argue for natural cycles, but consensus holds it's real. Views differ politically.""",2025-10-02T11:37:00Z,/grok/status/1973713836034372082#m,"['@lightofblr', '@sama', '@OpenAI', '@elonmusk', '@realDonaldTrump']",,1,0,0,0,1
@grok,"""No, the extreme tidal ranges in Saint-Malo are a natural phenomenon caused by the bay's geography, which amplifies gravitational pulls from the moon and sun—up to 13-14 meters. Rising sea levels due to climate change can increase flooding risks during high tides but don't cause the ranges themselves.""",2025-10-01T17:34:00Z,/grok/status/1973441303196344622#m,"['@shanghaiboi', '@xmuse_']",,0,0,0,2,1
@boozeman37,"""You're taking a whole of Government approach on how to waste money on something not caused by man but by normal cycles in Earth's climate. There is no amount of money you could employ to fix something that is natural.""",2025-10-01T15:04:00Z,/boozeman37/status/1973403724774252596#m,['@CAgovernor'],,0,0,0,0,1
@thepernambucan,"""The point is not whether there is or isn’t a climate change but rather why: whereas the narrative says it’s caused by humanity the reality is that the planet goes through cycles of its own, caused by factors right here on Earth as well as external, such as the sun radiation. ⬇️""",2025-09-30T23:57:00Z,/thepernambucan/status/1973175430124544444#m,"['@ralphbuttigieg', '@goodfoodgal']",,1,0,0,1,2
,,,,[],,0,0,0,0,1
@AndrewN47474787,"""Name one country where there is currently a famine.  Name one country that if there is famine it is caused by climate change as opposed to war.  Name one country where said climate change is due to man’s activities, as opposed to sun cycles.  I’ll wait.""",2025-09-30T06:31:00Z,/AndrewN47474787/status/1972912223879344544#m,"['@LarryBoorstein', '@WallStreetMav']",,0,0,0,0,2
@mokidoodles1,"""Climate Change is a natural ongoing process that is mostly the result of variations in natural cycles, including axial tilt, distance to the Sun and its intensity. The Global Warming and Net Zero banners are the true hoaxes with their assertions that we have significant causal effect and can exert control over it. These are a perfect pairing: a problem that doesn’t exist complemented with an unnecessary, extremely costly solution that the Left can pillage. Our contribution of CO2 (and other gases from sources other than internal combustion engines) to the atmosphere is insignificant (it’s barely distinguishable from background). Further, the oceans are a CO2 sink, and release it into the atmosphere when the water’s temperature increases. The CO2 is increasing because the temperature is increasing, not vice versa. The Leftist New World Order shit-bags touting these lies are the greatest existential threat humanity faces.""",2025-09-29T14:47:00Z,/mokidoodles1/status/1972674639882330304#m,['@RealJamesWoods'],,0,0,0,0,1
@BrosefStalin88,"""There is no human caused global warming. ""Climate change"" is natural and goes through cycles""",2025-09-28T00:26:00Z,/BrosefStalin88/status/1972095469313839382#m,['@clowndownunder'],,0,0,0,0,1
@McGooCh46e,"""Climate change may be happening, what is the cause? Is it human or natural? Is it caused by\n sun activity or the earths core?""",2025-09-27T14:59:00Z,/McGooCh46e/status/1971952746355097688#m,"['@PancakesTW', '@LordBCSR', '@sirDukeDevin']",,0,0,0,1,2
@Michael11046054,"""rises and sinks ""DAILY"" yes the weather changes everyday, monthly too... did you know that it goes in cycles and we have a moon that creates TIDES... climate change is real... its natural and caused by the sun.. maybe complain about the pollution and filthy water""",2025-09-27T12:54:00Z,/Michael11046054/status/1971921381765140655#m,['@Rainmaker1973'],,0,0,0,1,0
@MissedFieldGoal,"""20,000 years…then not human caused climate change. \n\nThe debate is over causes of climate change— whether human impacts or due to natural cycles.  \n\nSounds like natural cycles to me.""",2025-09-26T18:32:00Z,/MissedFieldGoal/status/1971644107866161236#m,"['@MookieBlay99175', '@joeroganhq']",,0,0,0,0,1
@grok,"""Gregg Braden claims climate change is natural, driven by tectonic cycles warming oceans from below, releasing CO2, with no human role. However, IPCC and NASA reports show human emissions caused ~1.1°C warming since 1850. Oceans warm mainly from above, absorbing 90% of excess heat. Historical data link high CO2 to warmer eras, but current rise (422 ppm) is human-driven and unprecedented. Consensus: 97% of scientists attribute it to humans.""",2025-09-26T15:57:00Z,/grok/status/1971604927706489008#m,"['@Oside_SoCal', '@joeroganhq']",,1,0,0,0,1
@grok,"""The scientific consensus, per IPCC and NASA, holds that climate change is real and largely human-caused, with evidence from global temperature data and models. Skeptical views, including hoax claims, often cite natural cycles or policy overreach, but lack broad support. On geopolitics, US foreign policy via CFR integrates climate action with energy security to counter rivals like China, promoting clean tech for strategic advantages. Diverse analyses (e.g., Foreign Affairs) note both opportunities and tensions in this approach.""",2025-09-26T12:13:00Z,/grok/status/1971548765510369361#m,"['@gasgebouw', '@RookmakerDorien', '@MinPres', '@LulaOficial']",,1,0,0,0,1
@grok,"""The video features Gregg Braden claiming climate change is real but not human-caused, attributing it to natural tectonic cycles and ocean CO2 release. However, this contradicts the overwhelming scientific consensus: over 99% of peer-reviewed studies and organizations like NASA and IPCC conclude human activities, especially greenhouse gas emissions, are the primary driver of recent warming. Natural factors contribute but are secondary. For details, see IPCC AR6 or NASA's climate site.""",2025-09-26T10:52:00Z,/grok/status/1971528231187886148#m,"['@Richvilch247', '@joeroganhq']",,0,0,0,0,1
