user,text,created_at_datetime,link,comments,retweets,likes,quotes
@DASingh8,Climate change is caused by natural phenomena. It can be caused by volcanoes&#44; solar cycles&#44; ocean currents&#44; etc. but not by CO2. You have CO2 in your body right now. It is necessary for the survival of the planet. Only brain-dead idiots&#44; like Democrats&#44; think it must be removed.,2025-09-08T19:19:00Z,/DASingh8/status/1965132948979741036#m,0,0,0,0
@JimSheehy1,I would love to see actual data presented in court that shows that fossil fuels have caused climate change as opposed to the many other natural and cyclical cycles of climate change. Has fossil fuel caused more change than solar cycles&#44; ocean current patterns&#44; volcano eruptions&#44; etc.? Has fossil fuel use provided more benefits than harm? Will the conversion of massive amount of farm and other land for use by solar and wind farms cause more harm than good? What are the lifecycle costs of converting to EVs&#44; solar and wind versus fossil fuels? Which is more costly for consumers&#44; and which can help poor&#44; developing countries better escape poverty? Laws like these that are based on the whims of Democrats in Democrat run states need to be challenged if they are not based on science. Trump’s DOJ Challenges $75B Energy Liability Under NY’s Superfund Act townhall.com/tipsheet/scott-…,2025-08-31T17:50:00Z,/JimSheehy1/status/1962211319811014712#m,0,0,0,0
@Jaye_Patrick,Natural weather cycles caused by the sun.,2025-07-15T22:55:00Z,/Jaye_Patrick/status/1945255898160435680#m,0,0,1,0
@Rimzire,There is no climate crisis. There nothing new in extreme or man-made about today's climate.  Changes in global temp r caused by solar cycles&#44; not CO2&#44; which makes just 0.04% of atmosphere&#44; of which 95% comes frm natural sources&#44; not human activity. The grift is up. U loose..,2025-04-07T06:28:00Z,/Rimzire/status/1909131131116540036#m,0,0,0,0
@kevinde33630109,For those suffering from climate-induced paranoia who still cannot accept natural forces control the climate.. not human emissions of CO2 amounting to just 4% (IPCC 4.13%) of global CO2 emissions. This graph highlights the link between solar cycles (blue) and temperature (grey).,2025-02-05T15:27:00Z,/kevinde33630109/status/1887161063621153195#m,0,0,0,0
@climatederange,Earth’s climate has always fluctuated. The Medieval Warm Period (950-1250 AD) had temperatures similar to today&#44; driven by natural cycles like solar activity—not CO2. What caused warming then if not industrialization? 🌍 #ClimateScam,2024-12-30T17:32:00Z,/climatederange/status/1873784265252757690#m,0,0,0,0
@salvazion_,Why is climate change or global warming a lie that does not exist?  1. Natural Cycles: Some argue that climate has always changed due to natural cycles like solar activity or Earth's orbital variations&#44; suggesting that current changes are not human-induced. This perspective was highlighted in posts found on X&#44; where users claim that climate change is part of the Earth's organic cycles and not a crisis caused by human activities.  2. Manufactured Consensus: There is a claim that the scientific consensus on climate change is manufactured by various global entities for political or financial gain. This idea was expressed in posts where climate change is described as a scam created to benefit globalist agendas or control energy markets.  3. Historical Temperatures: Critics sometimes point out that Earth has been warmer in the past&#44; implying that current warming trends are neither unusual nor human-caused. This argument was noted in posts where historical temperature data is used to challenge current climate science.  #Qolitica #ClimateChange #BiodiversityLoss #TemperatureRise #SeaLevelRise #OceanAcidification #ExtremeWeatherEvents,2024-12-19T15:47:00Z,/salvazion_/status/1869771628051148988#m,3,1,4,0
@cct_earth,"Tracking human-induced warming helps separate our impact on climate from natural processes such as solar variation&#44; volcanic eruptions&#44; and El Niño oscillations. Through ""Detection and Attribution""&#44; scientists can separate the noise of naturally occurring fluctuations from the signal of human-induced warming.  Check out the chart and the article — a 5-minute read 💫 climatechangetracker.org/igc…",2024-10-29T12:59:00Z,/cct_earth/status/1851247504546832441#m,0,2,2,0
@BtrClngrUBetcha,Variability of the climate on Earth is part of natural cycles that impact the orbit and tilt of the Earth relative to the Sun. Changes in SOLAR output can have significant impacts here&#44; as in the Maunder Minimum output&#44; which caused the Little Ice Age. space.com/earth-sun-relation…,2024-09-21T01:32:00Z,/BtrClngrUBetcha/status/1837303875419660595#m,0,0,0,0
@BeesterGee,#Climate @Lauratobin1 it's not driven by CO2. It's just 0.03% of the atmosphere&#44; of which just 3% is man made. Levels follow don't drive temperature. We're in a natural warming period due to solar cycles. Please realise this & the huge damage that will be caused chasing rainbows,2023-09-07T07:32:00Z,/BeesterGee/status/1699687169164452113#m,1,0,0,0
@dspencerlifeX,"Climate change is real. But&#44; it's Natural&#44; in cycles. The entire solar system climate has changed&#44; in the cycle. Humans aren't on the other planets&#44; yet they've experienced similar ""climate change"" as Earth in the same time period. The ""human caused"" part is the hoax.",2023-08-13T05:55:00Z,/dspencerlifeX/status/1690602903193391104#m,0,0,0,0
@GerryBridgett,They love using a lick of paint and crayons 🖍️ 🖍️ for Gaslighting   @RadioBrendanRTE @DearbhailDibs   Climate change is caused by Axial precession&#44; Apsidal precession and Solar Cycles&#44; not CO2 that comprises 0.04% of gases in the atmosphere of which 90 plus % are   natural,2023-07-23T10:43:00Z,/GerryBridgett/status/1683065341918756865#m,0,0,1,0
@thenewguards_,'Climate Change' is caused by natural Climate Cycles&#44; mostly (if not completely) influenced by Solar Activity. There is no concrete evidence to suggest that human activities have had ANY EFFECTS on the Climate whatsoever. We need to stop wasting our time&#44; energy and MONEY on this fiction.  #ClimateSciencefiction #ClimateScienceFraud #ClimateGate #JorgenSteffensen #JudithCurry #ClimateChangeisNatural #Trudeaumustgo #GeorgeSorosisevil,2023-05-16T19:45:00Z,/thenewguards_/status/1658559343413940249#m,0,0,1,0
@TheHerald_Sun,Researchers say climate change caused by humans plays a key role&#44; even if natural cycles are part of the reason.  heraldsun.com/news/politics-…,2023-04-14T10:30:00Z,/TheHerald_Sun/status/1646823162456207360#m,0,0,0,0
@maegan_laporte,Get a life the world is not ending because of natural changes in the weather that are caused by the sun and ocean cycles for example but it is being used to control the population into communism which I will proudly denounce and fight against #co2islifenotpollution,2023-04-08T17:40:00Z,/maegan_laporte/status/1644757105583243269#m,0,0,0,0
@BkennedyBarbara,⬇️⬇️ and would you be crying the blues about melting ice if half the Northern hemisphere was covered with ice&#44; like 12&#44;000 years ago.  BTW there have been regular climate warmings and coolings since the big melt; all caused by natural cycles&#44; sun’s activity and random events,2023-04-03T13:40:00Z,/BkennedyBarbara/status/1642884906186608641#m,1,1,1,0
@catandman,Per the UN IPCC there is no solar effect in climate change&#44; in particular all change over last 2&#44;000 yrs is caused by humans/CO2. Really? Here is a list of solar cycles identified by published science and correlated with natural change. Check out all 11. Who to believe?,2023-02-04T20:47:00Z,/catandman/status/1621973839679733761#m,3,24,58,1
@SchneiderDallas,Natural Solar Induced Climate Cycles! Great SCIENCE!! virtualacademia.com/pdf/cli2… Now just add in the 2&#44;000 yr (since 79 AD) Planetary Alignment of Nov 2024 plus the 12&#44;500 yr/25-27&#44;000 yr Galactic Year cycle (Lake Taupo NZ Volcano) to see what we are in for! #climate,2023-01-05T09:59:00Z,/SchneiderDallas/status/1610939118757748739#m,0,1,1,0
@silentstorm012,Here we go again. I am not a climate change denier. On the contrary&#44; climate change is obvious&#44; getting hotter&#44; droughts&#44; natural disaster on the rise&#44; but only some of it is caused by us. It’s Earth’s weather cycles&#44; Sun’s influence. Harsh reality&#44; but we can’t fix it.,2022-08-21T23:21:00Z,/silentstorm012/status/1561493750550892545#m,0,0,0,0
,,,,0,0,0,0
@ji34381503,Climate change is not caused by mankind…it is caused by the natural cycles of the sun. We are moving out of a warm cycle into a very cold cycle,2022-07-17T18:03:00Z,/ji34381503/status/1548730212044525568#m,0,0,0,0
@co2GreensEarth,Natural climate change happens&#44; as we've warmed since the Little Ice Age(1303-1860) & the Earth was warmer in the Medieval Warm Period (950AD–1250) then now&#44; because of mostly Sun activity. Man-made co2 induced climate change is a massive hoax & boondoggle schillerinstitute.com/media/…,2022-07-03T22:55:00Z,/co2GreensEarth/status/1543730171856945153#m,0,3,5,0
@DavesWondering,I will explain. Climate change is cyclical & caused by various natural changes&#44; including solar activity and magnetism changes. These cycles have happened for 350&#44;000&#44;000 years & never affected&#44; nor deflected by humans.  Anyone telling you different is trying to put you,2022-05-29T00:03:00Z,/DavesWondering/status/1530701281861435392#m,1,2,3,0
@michael407931,I believe in climate change&#44; but not that it was caused by us. It has to do with natural cycles and earth's orbit and declination around the sun. Did you know earth was once a complete ball of ice for hundreds of millions of years? #climate #science #weather,2022-05-19T14:49:00Z,/michael407931/status/1527300537909379077#m,0,0,0,0
@LlareggubJ,I don't. Climate change is mainly caused by the Milankovitch Cycles and other natural phenomena. It has always changed and always will until the Sun dies.,2021-10-15T05:04:00Z,/LlareggubJ/status/1448877537711513615#m,0,0,0,0
@TomANelson,"Hayhoe: ""Our climate isn’t changing right now because of the Sun&#44; or volcanoes&#44; or natural cycles. Our change is human-caused."" #SavingUs",2021-10-07T18:45:00Z,/TomANelson/status/1446184865167290373#m,3,2,11,0
@tehmimzy,Except it’s natural cycles&#44; not humans caused by it. If you learn about solar forcing and the waning magnetosphere&#44; you’d see. The political explanation for climate change is about manipulation and money.,2021-09-20T09:43:00Z,/tehmimzy/status/1439888000838774784#m,0,0,0,0
@27Legin,He saw the light that he could earn millions by joining the warmists who pretend the man can change the climate. All climate events are natural&#44; and caused by the cycles of the sun. It’s very arrogant to believe we can overpower the sun!,2021-08-03T09:21:00Z,/27Legin/status/1422487672719908865#m,1,0,1,0
@BkennedyBarbara,Truer words were never spoken!  Climate is a result of natural cycles&#44; random events and sun’s energy level.  Now Google the year without summer. (Hint: 1816-caused by a massive volcanic explosion)Regular climate warming and cooling for at least the las 10&#44;000 years-why?,2021-05-31T19:23:00Z,/BkennedyBarbara/status/1399446376790986755#m,0,0,1,0
@navstadt,gab.com/TheEpochTimes/posts/…  Human caused Climate change is unadulterated BULLSHIT. Climate change is a natural phenomenon caused by the cycles of our sun. Humans are responsible for less that 1/2% if that of it. IMHO/IMPO! Stop buying into the lie pushed by monopolies for profits.,2021-05-12T16:02:00Z,/navstadt/status/1392510509409243144#m,0,0,1,0
@joshofar,Aside from natural climate cycles of warming/cooling caused by the Sun&#44; there is no such thing as “Global Warming.” For years they have been trying to convince us that a few billion people are capable of releasing more climate-altering energy than a Star. Fairy tales for adults.,2020-05-22T11:11:00Z,/joshofar/status/1263789580760739842#m,0,1,1,0
@Incogneato76,Literally almost 100% of Earth’s energy & weather is a result of: 1) directly from variability of the Sun’s solar intensity & sun spots or  2) indirectly from interference of solar intensity caused by Earth’s natural events: volcanos&#44; clouds&#44; axis tilt-seasons&#44; orbital cycles,2020-03-02T20:37:00Z,/Incogneato76/status/1234578532895870976#m,0,0,0,0
