username,content,timestamp,link,comments,retweets,likes,quotes
@OrganicPapillon,"When did it become so difficult to look back over the ERAS to understand that the earth has ""warmed"" and ""cooled"" itself for literally ERAS!!! #science ?","Sep 16, 2025 · 12:58 PM UTC",/OrganicPapillon/status/1967936233419784337#m,0,0,0,0
@cmlarl,cbc.ca/news/canada/no-lawn-m…: As soon as you mention the David Suzuki Foundation as a reference you can stop reading. Climate change isn't the issue. Earth has warmed cooled  and frozen many times before and is still here.  Earth isn't set up for exclusive human use.,"Aug 13, 2025 · 2:33 PM UTC",/cmlarl/status/1955638900627824812#m,0,0,1,0
@SteveNeale70,Well the oil and coal under the Arctic didn't get there by itself so at some point&#44; probably multiple points&#44; the poles have been lush green forests and teaming with life.  Then the earth cooled and then it warmed up. Sometimes quickly&#44; sometimes slowly depending on farty t-rex's,"Jul 14, 2025 · 5:01 PM UTC",/SteveNeale70/status/1944804488268669091#m,0,0,0,0
@meep_meep_speed,They tax the air in Canada. Toronto's mayor&#44; Olivia Chow was prepared to tax rain because the demoralization locomotive is still in full swing up here because climate change is all our fault too. Earth has warmed and cooled 6 times in the past 1200 years. We've been through warming and cooling cycles every 200 years or so. Our warming cycle plateaued in 1980. We are heading for a mini ice age. They'll have no choice to end the facade. The redistribution of wealth is science 🤷‍♂️  Ask an expert 🥸,"Jun 10, 2025 · 3:32 PM UTC",/meep_meep_speed/status/1932460848640831761#m,0,0,0,0
@Dirkuleese,Earth’s climate history spans 4.5B yrs: supercontinents like Pangea broke apart&#44; shifting oceans and CO2 levels (Taylor & Francis). Ice caps grew/shrank over millennia—Heinrich events&#44; Dansgaard-Oeschger cycles cooled/warmed the planet naturally. Glaciers aren’t ‘doomed&#44;’ they adapt! 500M yrs ago&#44; Rodinia’s breakup warmed the planet with CH4 release&#44; while Pangea’s formation cooled it with CO2 drawdown. Nature’s cycles at work! #LiberalAgenda #Cndpoli,"Jun 3, 2025 · 2:16 AM UTC",/Dirkuleese/status/1929723824825565502#m,0,0,0,0
@ToczekJozef,Abolish the astronomically costly EU Green Deal! Why? Its underlying theory of man-made global warming / climate change is’nt justified scientifically: it’s absurd & illogical. Why? For millions of years Earth warmed & cooled&#44; icebergs formed & melted with no human action. Q.E.D,"May 30, 2025 · 10:07 AM UTC",/ToczekJozef/status/1928392708772520266#m,0,0,0,0
@TrevorH53038397,"Solar dimming spectator.com.au/2025/05/sol…   ""The Earth has cooled since the time of Jesus&#44; warmed since the Dark Ages&#44; cooled since Medieval times and warmed since the zenith of the Little Ice Age 330 years ago.""","May 25, 2025 · 1:05 AM UTC",/TrevorH53038397/status/1926444539331436659#m,1,0,0,0
@maricam58,What a cute li'l club of sad ppl in red outfits. What useful & helpful thing did they accomplish today? The earth has warmed & cooled before. Humans adapt. Maybe they shd focus on adaptation instead of wasting all that red fabric?,"May 11, 2025 · 1:46 AM UTC",/maricam58/status/1921381277501952260#m,0,0,0,0
@JimOrnata,When you create an ice age event where is the off switch? You fail to see the long game and understand that humans have been on the stellar scene about a millisecond. The earth has always warmed&#44; cooled and changed but you are to ignorant to see that.    telegraph.co.uk/news/2025/04…,"Apr 23, 2025 · 11:12 PM UTC",/JimOrnata/status/1915182058286248067#m,0,0,0,0
@cmlarl,So? In 4.5 billion years of existence Earth's climate has constantly warmed and cooled. Yet strangely we are still here. So much for climate change BS. Earth is not a private play ground for humans&#44; we are simply passing through.,"Apr 13, 2025 · 9:33 PM UTC",/cmlarl/status/1911533190856228927#m,0,0,0,0
@PeterDClack,There's no evidence or suggestion carbon dioxide was responsible for these well known shifts in climate in the recent past. Clearly&#44; earth cooled & warmed rapidly in a random way & has done so throughout the 11&#44;700y Holocene interglacial. If CO2 had caused these changes&#44; wouldn't someone say so?,"Mar 28, 2025 · 11:16 PM UTC",/PeterDClack/status/1905760972742242631#m,31,628,"1,443",27
